state_raw,year,atms,source_sheet,total_row_label
DELHI,2022,7996.0,Statewise March 2022,Total (Banks+WLAOs)
ODISHA,2022,8203.0,Statewise March 2022,Total (Banks+WLAOs)
PUDUCHERRY,2022,670.0,Statewise March 2022,Total (Banks+WLAOs)
PUNJAB,2022,7649.0,Statewise March 2022,Total (Banks+WLAOs)
RAJASTHAN,2022,11244.0,Statewise March 2022,Total (Banks+WLAOs)
SIKKIM,2022,227.0,Statewise March 2022,Total (Banks+WLAOs)
TAMIL NADU,2022,29169.0,Statewise March 2022,Total (Banks+WLAOs)
TELANGANA,2022,11712.0,Statewise March 2022,Total (Banks+WLAOs)
TRIPURA,2022,566.0,Statewise March 2022,Total (Banks+WLAOs)
UTTAR PRADESH,2022,24322.0,Statewise March 2022,Total (Banks+WLAOs)
UTTARAKHAND,2022,2938.0,Statewise March 2022,Total (Banks+WLAOs)
WEST BENGAL,2022,13410.0,Statewise March 2022,Total (Banks+WLAOs)
ANDAMAN & NICOBAR ISLANDS,2023,124.0,Statewise March 2023,Grand Total
ANDHRA PRADESH,2023,12393.0,Statewise March 2023,Grand Total
ARUNACHAL PRADESH,2023,283.0,Statewise March 2023,Grand Total
ASSAM,2023,4670.0,Statewise March 2023,Grand Total
BIHAR,2023,9680.0,Statewise March 2023,Grand Total
CHANDIGARH,2023,744.0,Statewise March 2023,Grand Total
CHHATTISGARH,2023,4390.0,Statewise March 2023,Grand Total
DADRA & NAGAR HAVELI AND DAMAN & DIU,2023,311.0,Statewise March 2023,Grand Total
GOA,2023,1038.0,Statewise March 2023,Grand Total
GUJARAT,2023,14297.0,Statewise March 2023,Grand Total
HARYANA,2023,7263.0,Statewise March 2023,Grand Total
HIMACHAL PRADESH,2023,2271.0,Statewise March 2023,Grand Total
JAMMU & KASHMIR,2023,2826.0,Statewise March 2023,Grand Total
JHARKHAND,2023,4157.0,Statewise March 2023,Grand Total
KARNATAKA,2023,19238.0,Statewise March 2023,Grand Total
KERALA,2023,11633.0,Statewise March 2023,Grand Total
LADAKH,2023,161.0,Statewise March 2023,Grand Total
LAKSHADWEEP,2023,23.0,Statewise March 2023,Grand Total
MADHYA PRADESH,2023,11495.0,Statewise March 2023,Grand Total
MAHARASHTRA,2023,29612.0,Statewise March 2023,Grand Total
MANIPUR,2023,400.0,Statewise March 2023,Grand Total
MEGHALAYA,2023,459.0,Statewise March 2023,Grand Total
MIZORAM,2023,182.0,Statewise March 2023,Grand Total
NAGALAND,2023,332.0,Statewise March 2023,Grand Total
DELHI,2023,7887.0,Statewise March 2023,Grand Total
ODISHA,2023,8626.0,Statewise March 2023,Grand Total
PUDUCHERRY,2023,671.0,Statewise March 2023,Grand Total
