unit,year,age_band,persons,male,female,pdf_page
JAMMU & KASHMIR (UT),2031,10-14,830,428,402,170
JAMMU & KASHMIR (UT),2036,10-14,850,437,413,170
JAMMU & KASHMIR (UT),2026,15-19,1415,761,653,170
JAMMU & KASHMIR (UT),2031,15-19,894,463,431,170
JAMMU & KASHMIR (UT),2036,15-19,823,425,398,170
JAMMU & KASHMIR (UT),2026,20-24,1366,727,639,170
JAMMU & KASHMIR (UT),2031,20-24,1402,756,646,170
JAMMU & KASHMIR (UT),2036,20-24,883,459,425,170
JAMMU & KASHMIR (UT),2026,25-29,1317,692,625,170
JAMMU & KASHMIR (UT),2031,25-29,1357,721,636,170
JAMMU & KASHMIR (UT),2036,25-29,1393,749,643,170
JAMMU & KASHMIR (UT),2026,30-34,1210,628,582,170
JAMMU & KASHMIR (UT),2031,30-34,1309,687,622,170
JAMMU & KASHMIR (UT),2036,30-34,1348,715,633,170
JAMMU & KASHMIR (UT),2026,35-39,1109,576,533,170
JAMMU & KASHMIR (UT),2031,35-39,1201,623,579,170
JAMMU & KASHMIR (UT),2036,35-39,1300,681,619,170
JAMMU & KASHMIR (UT),2026,40-44,1011,532,479,170
JAMMU & KASHMIR (UT),2031,40-44,1100,570,530,170
JAMMU & KASHMIR (UT),2036,40-44,1192,617,575,170
JAMMU & KASHMIR (UT),2026,45-49,891,470,421,170
JAMMU & KASHMIR (UT),2031,45-49,998,524,474,170
JAMMU & KASHMIR (UT),2036,45-49,1086,562,525,170
JAMMU & KASHMIR (UT),2026,50-54,775,407,368,170
JAMMU & KASHMIR (UT),2031,50-54,874,459,415,170
JAMMU & KASHMIR (UT),2036,50-54,980,512,468,170
JAMMU & KASHMIR (UT),2026,55-59,652,343,309,170
JAMMU & KASHMIR (UT),2031,55-59,750,391,359,170
JAMMU & KASHMIR (UT),2036,55-59,848,442,406,170
JAMMU & KASHMIR (UT),2026,60-64,519,272,248,170
JAMMU & KASHMIR (UT),2031,60-64,621,323,298,170
JAMMU & KASHMIR (UT),2036,60-64,716,370,346,170
JAMMU & KASHMIR (UT),2026,65-69,386,199,188,170
JAMMU & KASHMIR (UT),2031,65-69,483,248,235,170
JAMMU & KASHMIR (UT),2036,65-69,579,296,283,170
JAMMU & KASHMIR (UT),2026,70-74,276,137,139,170
JAMMU & KASHMIR (UT),2031,70-74,343,171,172,170
JAMMU & KASHMIR (UT),2036,70-74,430,215,215,170
JAMMU & KASHMIR (UT),2026,75-79,190,90,101,170
JAMMU & KASHMIR (UT),2031,75-79,227,107,120,170
JAMMU & KASHMIR (UT),2036,75-79,284,135,149,170
JAMMU & KASHMIR (UT),2026,80+,185,83,102,170
JAMMU & KASHMIR (UT),2031,80+,229,100,128,170
JAMMU & KASHMIR (UT),2036,80+,278,120,158,170
JAMMU & KASHMIR (UT),2026,Total,13896,7256,6640,170
JAMMU & KASHMIR (UT),2031,Total,14361,7467,6894,170
JAMMU & KASHMIR (UT),2036,Total,14747,7635,7112,170
HIMACHAL PRADESH,2011,0-1,113,59,54,174
HIMACHAL PRADESH,2016,0-1,101,53,48,174
HIMACHAL PRADESH,2021,0-1,94,49,45,174
HIMACHAL PRADESH,2011,0-4,557,292,265,174
HIMACHAL PRADESH,2016,0-4,500,262,238,174
HIMACHAL PRADESH,2021,0-4,465,243,222,174
HIMACHAL PRADESH,2011,5-9,593,312,280,174
HIMACHAL PRADESH,2016,5-9,556,293,263,174
HIMACHAL PRADESH,2021,5-9,499,263,236,174
HIMACHAL PRADESH,2011,10-14,628,332,297,174
HIMACHAL PRADESH,2016,10-14,592,313,279,174
HIMACHAL PRADESH,2021,10-14,556,294,262,174
HIMACHAL PRADESH,2011,15-19,642,334,308,174
HIMACHAL PRADESH,2016,15-19,628,333,295,174
HIMACHAL PRADESH,2021,15-19,593,315,278,174
HIMACHAL PRADESH,2011,20-24,630,319,311,174
HIMACHAL PRADESH,2016,20-24,641,335,305,174
HIMACHAL PRADESH,2021,20-24,628,334,294,174
HIMACHAL PRADESH,2011,25-29,593,294,299,174
HIMACHAL PRADESH,2016,25-29,627,318,309,174
HIMACHAL PRADESH,2021,25-29,638,335,303,174
HIMACHAL PRADESH,2011,30-34,551,273,278,174
HIMACHAL PRADESH,2016,30-34,590,293,297,174
HIMACHAL PRADESH,2021,30-34,624,317,307,174
HIMACHAL PRADESH,2011,35-39,508,253,255,174
HIMACHAL PRADESH,2016,35-39,547,271,276,174
HIMACHAL PRADESH,2021,35-39,586,290,295,174
HIMACHAL PRADESH,2011,40-44,452,225,226,174
HIMACHAL PRADESH,2016,40-44,502,249,253,174
HIMACHAL PRADESH,2021,40-44,541,267,274,174
HIMACHAL PRADESH,2011,45-49,392,196,196,174
HIMACHAL PRADESH,2016,45-49,445,220,224,174
HIMACHAL PRADESH,2021,45-49,495,244,251,174
HIMACHAL PRADESH,2011,50-54,331,166,165,174
HIMACHAL PRADESH,2016,50-54,383,190,193,174
HIMACHAL PRADESH,2021,50-54,435,214,221,174
HIMACHAL PRADESH,2011,55-59,274,138,136,174
HIMACHAL PRADESH,2016,55-59,319,158,161,174
HIMACHAL PRADESH,2021,55-59,370,181,188,174
HIMACHAL PRADESH,2011,60-64,222,111,111,174
HIMACHAL PRADESH,2016,60-64,258,127,131,174
HIMACHAL PRADESH,2021,60-64,301,147,155,174
HIMACHAL PRADESH,2011,65-69,170,84,86,174
HIMACHAL PRADESH,2016,65-69,201,98,104,174
HIMACHAL PRADESH,2021,65-69,235,113,122,174
HIMACHAL PRADESH,2011,70-74,151,72,79,174
HIMACHAL PRADESH,2016,70-74,147,70,77,174
HIMACHAL PRADESH,2021,70-74,176,82,93,174
HIMACHAL PRADESH,2011,75-79,106,51,55,174
HIMACHAL PRADESH,2016,75-79,121,55,66,174
HIMACHAL PRADESH,2021,75-79,119,54,65,174
HIMACHAL PRADESH,2011,80+,64,28,36,174
HIMACHAL PRADESH,2016,80+,101,45,57,174
HIMACHAL PRADESH,2021,80+,133,57,76,174
HIMACHAL PRADESH,2011,Total,6865,3482,3383,174
HIMACHAL PRADESH,2016,Total,7158,3631,3528,174
HIMACHAL PRADESH,2021,Total,7394,3750,3644,174
HIMACHAL PRADESH,2026,0-1,88,46,42,174
HIMACHAL PRADESH,2031,0-1,83,43,40,174
HIMACHAL PRADESH,2036,0-1,77,40,37,174
HIMACHAL PRADESH,2026,0-4,436,227,209,174
HIMACHAL PRADESH,2031,0-4,408,212,197,174
HIMACHAL PRADESH,2036,0-4,380,197,182,174
HIMACHAL PRADESH,2026,5-9,464,244,221,174
HIMACHAL PRADESH,2031,5-9,436,228,208,174
HIMACHAL PRADESH,2036,5-9,409,213,196,174
HIMACHAL PRADESH,2026,10-14,500,264,235,174
HIMACHAL PRADESH,2031,10-14,465,245,220,174
HIMACHAL PRADESH,2036,10-14,437,230,207,174
HIMACHAL PRADESH,2026,15-19,556,296,261,174
HIMACHAL PRADESH,2031,15-19,501,266,234,174
HIMACHAL PRADESH,2036,15-19,466,248,219,174
HIMACHAL PRADESH,2026,20-24,592,316,276,174
HIMACHAL PRADESH,2031,20-24,557,298,259,174
HIMACHAL PRADESH,2036,20-24,502,269,233,174
HIMACHAL PRADESH,2026,25-29,626,334,292,174
HIMACHAL PRADESH,2031,25-29,591,316,275,174
HIMACHAL PRADESH,2036,25-29,556,298,257,174
HIMACHAL PRADESH,2026,30-34,635,333,302,174
HIMACHAL PRADESH,2031,30-34,623,333,290,174
HIMACHAL PRADESH,2036,30-34,589,316,273,174
HIMACHAL PRADESH,2026,35-39,620,314,306,174
HIMACHAL PRADESH,2031,35-39,631,331,300,174
HIMACHAL PRADESH,2036,35-39,620,331,289,174
HIMACHAL PRADESH,2026,40-44,580,286,294,174
HIMACHAL PRADESH,2031,40-44,614,310,304,174
HIMACHAL PRADESH,2036,40-44,626,327,299,174
HIMACHAL PRADESH,2026,45-49,534,261,272,174
HIMACHAL PRADESH,2031,45-49,573,281,291,174
HIMACHAL PRADESH,2036,45-49,607,305,302,174
HIMACHAL PRADESH,2026,50-54,485,237,248,174
HIMACHAL PRADESH,2031,50-54,523,255,269,174
HIMACHAL PRADESH,2036,50-54,562,274,288,174
HIMACHAL PRADESH,2026,55-59,421,205,216,174
HIMACHAL PRADESH,2031,55-59,469,227,242,174
HIMACHAL PRADESH,2036,55-59,508,245,263,174
HIMACHAL PRADESH,2026,60-64,351,169,182,174
HIMACHAL PRADESH,2031,60-64,400,191,209,174
HIMACHAL PRADESH,2036,60-64,448,213,235,174
HIMACHAL PRADESH,2026,65-69,277,131,146,174
HIMACHAL PRADESH,2031,65-69,324,152,172,174
HIMACHAL PRADESH,2036,65-69,371,173,198,174
HIMACHAL PRADESH,2026,70-74,207,96,111,174
HIMACHAL PRADESH,2031,70-74,245,113,133,174
HIMACHAL PRADESH,2036,70-74,289,132,157,174
HIMACHAL PRADESH,2026,75-79,144,65,79,174
HIMACHAL PRADESH,2031,75-79,172,77,95,174
HIMACHAL PRADESH,2036,75-79,205,90,115,174
HIMACHAL PRADESH,2026,80+,152,64,89,174
HIMACHAL PRADESH,2031,80+,179,74,106,174
HIMACHAL PRADESH,2036,80+,213,86,127,174
HIMACHAL PRADESH,2026,Total,7579,3843,3737,174
HIMACHAL PRADESH,2031,Total,7712,3908,3804,174
HIMACHAL PRADESH,2036,Total,7785,3945,3840,174
PUNJAB,2011,0-1,432,234,198,178
PUNJAB,2016,0-1,417,222,195,178
PUNJAB,2021,0-1,394,209,185,178
PUNJAB,2011,0-4,2137,1158,978,178
PUNJAB,2016,0-4,2059,1098,961,178
PUNJAB,2021,0-4,1952,1037,915,178
PUNJAB,2011,5-9,2367,1302,1065,178
PUNJAB,2016,5-9,2145,1167,979,178
PUNJAB,2021,5-9,2069,1107,962,178
PUNJAB,2011,10-14,2592,1443,1149,178
PUNJAB,2016,10-14,2380,1311,1069,178
PUNJAB,2021,10-14,2160,1177,983,178
PUNJAB,2011,15-19,2753,1515,1238,178
PUNJAB,2016,15-19,2626,1458,1167,178
PUNJAB,2021,15-19,2417,1328,1089,178
PUNJAB,2011,20-24,2713,1445,1268,178
PUNJAB,2016,20-24,2807,1533,1274,178
PUNJAB,2021,20-24,2685,1479,1206,178
PUNJAB,2011,25-29,2459,1274,1185,178
PUNJAB,2016,25-29,2724,1450,1274,178
PUNJAB,2021,25-29,2820,1539,1281,178
PUNJAB,2011,30-34,2175,1113,1061,178
PUNJAB,2016,30-34,2456,1271,1185,178
PUNJAB,2021,30-34,2721,1447,1274,178
PUNJAB,2011,35-39,1974,1005,969,178
PUNJAB,2016,35-39,2165,1105,1059,178
PUNJAB,2021,35-39,2445,1263,1182,178
PUNJAB,2011,40-44,1791,913,878,178
PUNJAB,2016,40-44,1953,990,963,178
PUNJAB,2021,40-44,2143,1090,1053,178
PUNJAB,2011,45-49,1557,804,753,178
PUNJAB,2016,45-49,1761,893,868,178
PUNJAB,2021,45-49,1922,969,953,178
PUNJAB,2011,50-54,1265,659,606,178
PUNJAB,2016,50-54,1514,776,739,178
PUNJAB,2021,50-54,1716,864,852,178
PUNJAB,2011,55-59,1043,530,512,178
PUNJAB,2016,55-59,1215,627,588,178
PUNJAB,2021,55-59,1458,741,718,178
PUNJAB,2011,60-64,919,457,462,178
PUNJAB,2016,60-64,981,493,488,178
PUNJAB,2021,60-64,1147,585,562,178
PUNJAB,2011,65-69,738,376,363,178
PUNJAB,2016,65-69,841,411,430,178
PUNJAB,2021,65-69,903,446,457,178
PUNJAB,2011,70-74,597,309,288,178
PUNJAB,2016,70-74,646,323,322,178
PUNJAB,2021,70-74,742,357,386,178
PUNJAB,2011,75-79,416,219,197,178
PUNJAB,2016,75-79,479,246,233,178
PUNJAB,2021,75-79,525,260,265,178
PUNJAB,2011,80+,249,118,131,178
PUNJAB,2016,80+,389,195,194,178
PUNJAB,2021,80+,511,254,257,178
PUNJAB,2011,Total,27743,14639,13104,178
PUNJAB,2016,Total,29140,15347,13793,178
PUNJAB,2021,Total,30339,15943,14395,178
PUNJAB,2026,0-1,368,194,174,178
PUNJAB,2031,0-1,344,181,163,178
PUNJAB,2036,0-1,325,171,154,178
PUNJAB,2026,0-4,1820,963,857,178
PUNJAB,2031,0-4,1702,897,804,178
PUNJAB,2036,0-4,1609,848,761,178
PUNJAB,2026,5-9,1965,1047,918,178
PUNJAB,2031,5-9,1835,975,860,178
PUNJAB,2036,5-9,1718,909,809,178
PUNJAB,2026,10-14,2086,1119,967,178
PUNJAB,2031,10-14,1983,1060,923,178
PUNJAB,2036,10-14,1854,988,866,178
PUNJAB,2026,15-19,2201,1196,1005,178
