unit,year,age,persons,male,female,pdf_page
JAMMU & KASHMIR (UT),2026,17,296,160,136,172
JAMMU & KASHMIR (UT),2031,17,168,87,82,172
JAMMU & KASHMIR (UT),2036,17,162,84,79,172
JAMMU & KASHMIR (UT),2026,18,299,161,138,172
JAMMU & KASHMIR (UT),2031,18,185,96,89,172
JAMMU & KASHMIR (UT),2036,18,164,85,79,172
JAMMU & KASHMIR (UT),2026,19,288,155,133,172
JAMMU & KASHMIR (UT),2031,19,212,112,100,172
JAMMU & KASHMIR (UT),2036,19,168,87,81,172
JAMMU & KASHMIR (UT),2026,20,277,148,129,172
JAMMU & KASHMIR (UT),2031,20,249,133,116,172
JAMMU & KASHMIR (UT),2036,20,165,85,80,172
JAMMU & KASHMIR (UT),2026,21,275,147,128,172
JAMMU & KASHMIR (UT),2031,21,278,150,128,172
JAMMU & KASHMIR (UT),2036,21,160,82,78,172
JAMMU & KASHMIR (UT),2026,22,273,145,128,172
JAMMU & KASHMIR (UT),2031,22,294,159,135,172
JAMMU & KASHMIR (UT),2036,22,166,86,80,172
JAMMU & KASHMIR (UT),2026,23,271,144,127,172
JAMMU & KASHMIR (UT),2031,23,296,160,136,172
JAMMU & KASHMIR (UT),2036,23,183,95,88,172
HIMACHAL PRADESH,2011,5,116,61,55,176
HIMACHAL PRADESH,2016,5,107,56,51,176
HIMACHAL PRADESH,2021,5,97,51,46,176
HIMACHAL PRADESH,2011,6,117,62,55,176
HIMACHAL PRADESH,2016,6,110,58,52,176
HIMACHAL PRADESH,2021,6,98,51,46,176
HIMACHAL PRADESH,2011,7,118,62,56,176
HIMACHAL PRADESH,2016,7,112,59,53,176
HIMACHAL PRADESH,2021,7,99,52,47,176
HIMACHAL PRADESH,2011,8,120,63,57,176
HIMACHAL PRADESH,2016,8,113,60,54,176
HIMACHAL PRADESH,2021,8,101,53,48,176
HIMACHAL PRADESH,2011,9,121,64,57,176
HIMACHAL PRADESH,2016,9,114,60,54,176
HIMACHAL PRADESH,2021,9,104,55,49,176
HIMACHAL PRADESH,2011,10,123,65,58,176
HIMACHAL PRADESH,2016,10,116,61,55,176
HIMACHAL PRADESH,2021,10,107,56,50,176
HIMACHAL PRADESH,2011,11,125,66,59,176
HIMACHAL PRADESH,2016,11,117,62,55,176
HIMACHAL PRADESH,2021,11,109,58,52,176
HIMACHAL PRADESH,2011,12,126,67,59,176
HIMACHAL PRADESH,2016,12,118,63,56,176
HIMACHAL PRADESH,2021,12,112,59,53,176
HIMACHAL PRADESH,2011,13,127,67,60,176
HIMACHAL PRADESH,2016,13,120,63,56,176
HIMACHAL PRADESH,2021,13,113,60,53,176
HIMACHAL PRADESH,2011,14,127,67,60,176
HIMACHAL PRADESH,2016,14,121,64,57,176
HIMACHAL PRADESH,2021,14,114,61,54,176
HIMACHAL PRADESH,2011,15,128,67,61,176
HIMACHAL PRADESH,2016,15,123,65,58,176
HIMACHAL PRADESH,2021,15,116,61,54,176
HIMACHAL PRADESH,2011,16,129,67,61,176
HIMACHAL PRADESH,2016,16,125,66,59,176
HIMACHAL PRADESH,2021,16,117,62,55,176
HIMACHAL PRADESH,2011,17,129,67,62,176
