state,year,ref_date,pop_total_000,share_18plus,pop_18plus_000,share_source_unit,share_source,share_method
PUNJAB,2033,1october 2033,32382.0,0.79511,25747.4,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2034,1october 2034,32496.0,0.79832,25942.2,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2035,1october 2035,32611.0,0.80153,26138.6,PUNJAB,own,linear interpolation of 18+ share between quinquennial anchors
PUNJAB,2036,1october 2036,32725.0,0.80473,26334.9,PUNJAB,own,published
HARYANA,2011,1october 2011,25597.0,0.63954,16370.3,HARYANA,own,published
HARYANA,2012,1october 2012,26018.0,0.64592,16805.5,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2013,1october 2013,26438.0,0.65229,17245.4,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2014,1october 2014,26859.0,0.65867,17691.3,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2015,1october 2015,27280.0,0.66505,18142.5,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2016,1october 2016,27692.0,0.67143,18593.1,HARYANA,own,published
HARYANA,2017,1october 2017,28097.0,0.67675,19014.7,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2018,1october 2018,28503.0,0.68208,19441.4,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2019,1october 2019,28908.0,0.68741,19871.6,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2020,1october 2020,29314.0,0.69274,20306.9,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2021,1october 2021,29695.0,0.69806,20729.0,HARYANA,own,published
HARYANA,2022,1october 2022,30058.0,0.70256,21117.5,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2023,1october 2023,30421.0,0.70705,21509.2,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2024,1october 2024,30785.0,0.71155,21904.9,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2025,1october 2025,31148.0,0.71604,22303.2,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2026,1october 2026,31491.0,0.72053,22690.3,HARYANA,own,published
HARYANA,2027,1october 2027,31821.0,0.7247,23060.7,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2028,1october 2028,32150.0,0.72887,23433.1,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2029,1october 2029,32479.0,0.73303,23808.2,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2030,1october 2030,32809.0,0.7372,24186.7,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2031,1october 2031,33123.0,0.74136,24556.2,HARYANA,own,published
HARYANA,2032,1october 2032,33428.0,0.74551,24921.0,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2033,1october 2033,33733.0,0.74966,25288.3,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2034,1october 2034,34037.0,0.75381,25657.4,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2035,1october 2035,34342.0,0.75796,26029.8,HARYANA,own,linear interpolation of 18+ share between quinquennial anchors
HARYANA,2036,1october 2036,34646.0,0.76211,26403.9,HARYANA,own,published
NCT OF DELHI,2011,1october 2011,17008.0,0.66774,11356.9,NCT OF DELHI,own,published
NCT OF DELHI,2012,1october 2012,17386.0,0.67488,11733.4,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2013,1october 2013,17764.0,0.68202,12115.3,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2014,1october 2014,18142.0,0.68915,12502.6,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2015,1october 2015,18520.0,0.69629,12895.4,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2016,1october 2016,18898.0,0.70343,13293.5,NCT OF DELHI,own,published
NCT OF DELHI,2017,1october 2017,19277.0,0.70935,13674.1,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2018,1october 2018,19656.0,0.71527,14059.3,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2019,1october 2019,20035.0,0.72119,14449.0,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2020,1october 2020,20414.0,0.7271,14843.1,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2021,1october 2021,20801.0,0.73302,15247.6,NCT OF DELHI,own,published
NCT OF DELHI,2022,1october 2022,21195.0,0.73687,15618.0,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2023,1october 2023,21588.0,0.74072,15990.6,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2024,1october 2024,21982.0,0.74457,16367.1,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2025,1october 2025,22376.0,0.74841,16746.5,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2026,1october 2026,22775.0,0.75226,17132.8,NCT OF DELHI,own,published
NCT OF DELHI,2027,1october 2027,23177.0,0.75491,17496.6,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2028,1october 2028,23580.0,0.75756,17863.4,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2029,1october 2029,23982.0,0.76022,18231.5,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2030,1october 2030,24385.0,0.76287,18602.5,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2031,1october 2031,24790.0,0.76552,18977.2,NCT OF DELHI,own,published
NCT OF DELHI,2032,1october 2032,25198.0,0.76762,19342.6,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2033,1october 2033,25606.0,0.76973,19709.7,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2034,1october 2034,26013.0,0.77184,20077.8,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2035,1october 2035,26421.0,0.77395,20448.4,NCT OF DELHI,own,linear interpolation of 18+ share between quinquennial anchors
NCT OF DELHI,2036,1october 2036,26829.0,0.77605,20820.7,NCT OF DELHI,own,published
RAJASTHAN,2011,1october 2011,69212.0,0.58636,40583.3,RAJASTHAN,own,published
RAJASTHAN,2012,1october 2012,70351.0,0.59262,41691.4,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2013,1october 2013,71489.0,0.59888,42813.0,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2014,1october 2014,72627.0,0.60513,43949.0,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2015,1october 2015,73766.0,0.61139,45099.7,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2016,1october 2016,74828.0,0.61765,46217.2,RAJASTHAN,own,published
RAJASTHAN,2017,1october 2017,75836.0,0.62406,47326.0,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2018,1october 2018,76844.0,0.63047,48447.7,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2019,1october 2019,77853.0,0.63688,49583.0,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2020,1october 2020,78861.0,0.64329,50730.5,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2021,1october 2021,79790.0,0.6497,51839.7,RAJASTHAN,own,published
RAJASTHAN,2022,1october 2022,80662.0,0.65513,52843.8,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2023,1october 2023,81534.0,0.66055,53857.4,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2024,1october 2024,82406.0,0.66598,54880.4,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2025,1october 2025,83278.0,0.6714,55912.9,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2026,1october 2026,84057.0,0.67683,56891.9,RAJASTHAN,own,published
RAJASTHAN,2027,1october 2027,84768.0,0.68217,57826.2,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2028,1october 2028,85479.0,0.68751,58768.0,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2029,1october 2029,86190.0,0.69286,59717.5,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2030,1october 2030,86901.0,0.6982,60674.6,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2031,1october 2031,87590.0,0.70355,61623.8,RAJASTHAN,own,published
RAJASTHAN,2032,1october 2032,88263.0,0.70907,62584.7,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2033,1october 2033,88936.0,0.71459,63553.0,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2034,1october 2034,89609.0,0.72012,64528.8,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2035,1october 2035,90282.0,0.72564,65512.0,RAJASTHAN,own,linear interpolation of 18+ share between quinquennial anchors
RAJASTHAN,2036,1october 2036,90955.0,0.73116,66502.6,RAJASTHAN,own,published
UTTAR PRADESH,2011,1october 2011,201711.0,0.5703,115035.0,UTTAR PRADESH,own,published
UTTAR PRADESH,2012,1october 2012,204966.0,0.57702,118270.2,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2013,1october 2013,208221.0,0.58375,121549.2,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2014,1october 2014,211476.0,0.59048,124871.9,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2015,1october 2015,214730.0,0.59721,128237.9,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2016,1october 2016,217816.0,0.60393,131546.2,UTTAR PRADESH,own,published
UTTAR PRADESH,2017,1october 2017,220780.0,0.61084,134860.7,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2018,1october 2018,223744.0,0.61774,138216.1,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2019,1october 2019,226708.0,0.62465,141612.4,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2020,1october 2020,229672.0,0.63155,145049.7,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2021,1october 2021,232301.0,0.63846,148314.0,UTTAR PRADESH,own,published
UTTAR PRADESH,2022,1october 2022,234692.0,0.64392,151122.0,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2023,1october 2023,237082.0,0.64938,153955.4,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2024,1october 2024,239472.0,0.65484,156815.0,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2025,1october 2025,241863.0,0.6603,159701.3,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2026,1october 2026,243921.0,0.66576,162392.0,UTTAR PRADESH,own,published
UTTAR PRADESH,2027,1october 2027,245742.0,0.67134,164976.4,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2028,1october 2028,247563.0,0.67692,167581.2,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2029,1october 2029,249384.0,0.68251,170206.2,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2030,1october 2030,251205.0,0.68809,172851.6,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2031,1october 2031,252783.0,0.69367,175348.8,UTTAR PRADESH,own,published
UTTAR PRADESH,2032,1october 2032,254188.0,0.70059,178081.9,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2033,1october 2033,255594.0,0.70751,180835.2,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2034,1october 2034,256999.0,0.71443,183607.2,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2035,1october 2035,258405.0,0.72135,186399.3,UTTAR PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
UTTAR PRADESH,2036,1october 2036,259810.0,0.72826,189210.2,UTTAR PRADESH,own,published
BIHAR,2011,1october 2011,105275.0,0.53581,56407.1,BIHAR,own,published
BIHAR,2012,1october 2012,107290.0,0.54055,57995.3,BIHAR,own,linear interpolation of 18+ share between quinquennial anchors
BIHAR,2013,1october 2013,109306.0,0.54529,59603.1,BIHAR,own,linear interpolation of 18+ share between quinquennial anchors
BIHAR,2014,1october 2014,111321.0,0.55003,61229.4,BIHAR,own,linear interpolation of 18+ share between quinquennial anchors
BIHAR,2015,1october 2015,113336.0,0.55477,62874.9,BIHAR,own,linear interpolation of 18+ share between quinquennial anchors
BIHAR,2016,1october 2016,115215.0,0.5595,64463.3,BIHAR,own,published
BIHAR,2017,1october 2017,116996.0,0.56695,66331.2,BIHAR,own,linear interpolation of 18+ share between quinquennial anchors
BIHAR,2018,1october 2018,118778.0,0.5744,68226.1,BIHAR,own,linear interpolation of 18+ share between quinquennial anchors
BIHAR,2019,1october 2019,120559.0,0.58185,70147.0,BIHAR,own,linear interpolation of 18+ share between quinquennial anchors
BIHAR,2020,1october 2020,122341.0,0.5893,72095.0,BIHAR,own,linear interpolation of 18+ share between quinquennial anchors
BIHAR,2021,1october 2021,124154.0,0.59674,74088.1,BIHAR,own,published
BIHAR,2022,1october 2022,125991.0,0.60294,75965.2,BIHAR,own,linear interpolation of 18+ share between quinquennial anchors
BIHAR,2023,1october 2023,127827.0,0.60914,77864.4,BIHAR,own,linear interpolation of 18+ share between quinquennial anchors
BIHAR,2024,1october 2024,129664.0,0.61534,79787.0,BIHAR,own,linear interpolation of 18+ share between quinquennial anchors
