Quarter Date,Sequence No,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8
2026/06/30 00:00:00,5,UTTAR PRADESH,,,,15632,6210123,1246415124000,235574958,8445584334000,27227613,10376369455000,269012694
2024/12/31 00:00:00,29,RAJASTHAN,,,,7081,2823691,447711533000,85368104,2545121820000,10779602,3637927773000,98971397
2025/03/31 00:00:00,43,GUJARAT,,,,8753,3838092,1194529322000,93253595,3871559235000,18798606,7414254837000,115890293
2024/06/30 00:00:00,4,UTTARAKHAND,,,,2001,1156527,101292105000,15731196,860824057000,3805237,1223092210000,20692960
2024/12/31 00:00:00,6,EASTERN REGION,,,,23230,12590844,1556233895000,362779717,9686005552000,43152405,14240701341000,418522966
2025/09/30 00:00:00,28,PUNJAB,,,,6541,2225885,268850546000,55613709,2347828769000,10669516,4252987314000,68509110
2023/12/31 00:00:00,26,LADAKH,,,,91,77982,15291609000,482832,35279802000,74059,31654059000,634873
2023/06/30 00:00:00,31,ANDHRA PRADESH,,,,6364,2445583,293867301000,73060903,1734223219000,7111756,1969486880000,
2024/09/30 00:00:00,3,MADHYA PRADESH,,,,6448,5606900,385645395000,100077544,2363157054000,10830451,3355365106000,116514895
2023/03/31 00:00:00,32,KARNATAKA,,,,9278,4977627,1746364155000,101924108,4414775871000,16072454,8172716557000,
2024/09/30 00:00:00,15,ASSAM,,,,2765,3231446,154751294000,38569268,953442297000,3639961,965550307000,45440675
2026/06/30 00:00:00,2,CHHATTISGARH,,,,2652,1565993,196249576000,33633433,1156328064000,3741169,1571513300000,38940595
2025/06/30 00:00:00,13,NORTH EASTERN REGION,,,,4366,1524027,317926935000,54755881,1620759135000,5214566,1660541711000,61494474
2024/12/31 00:00:00,7,ANDAMAN & NICOBAR ISLANDS,,,,76,30515,5105623000,527612,40937964000,125021,36529453000,683148
2024/06/30 00:00:00,9,JHARKHAND,,,,2972,2224922,203311111000,41761746,1314734926000,4852306,1742990598000,48838974
2024/03/31 00:00:00,43,GUJARAT,,,,8430,4932737,1164653316000,89825319,3712345699000,18129861,6850646481000,112887917
2024/03/31 00:00:00,7,ANDAMAN & NICOBAR ISLANDS,,,,74,39693,6074791000,511388,38480538000,119661,32901469000,670742
2023/06/30 00:00:00,10,ODISHA,,,,4594,3407423,241729397000,58618357,1665743545000,7162561,2533726142000,
2026/06/30 00:00:00,38,WESTERN REGION,,,,24695,27815378,8707846054000,300926973,14825621950000,60474139,50515825605000,389216490
2024/12/31 00:00:00,28,PUNJAB,,,,6448,2220799,268450424000,55245510,2316872338000,10188392,3890485267000,67654701
