year_end_march,reporting_date,region,state,n_offices,n_credit_accounts,credit_limit_rs,amount_outstanding_rs
2024,2024-03-31,NORTH-EASTERN REGION,Arunachal Pradesh,163,144146,109001188000,82821737000
2024,2024-03-31,NORTH-EASTERN REGION,Assam,2570,4449117,1692430453000,1208207597000
2024,2024-03-31,NORTH-EASTERN REGION,Manipur,210,299875,149102566000,112877569000
2024,2024-03-31,NORTH-EASTERN REGION,Meghalaya,280,278421,175160152000,128744916000
2024,2024-03-31,NORTH-EASTERN REGION,Mizoram,126,120819,62688196000,46973308000
2024,2024-03-31,NORTH-EASTERN REGION,Nagaland,186,216487,118583341000,87566871000
2024,2024-03-31,NORTH-EASTERN REGION,Tripura,453,749511,165222359000,128703308000
2024,2024-03-31,NORTHERN REGION,Chandigarh,402,596069,1346434635000,830077182000
2024,2024-03-31,NORTHERN REGION,Delhi,3659,7800281,27254183586000,16800852096000
2024,2024-03-31,NORTHERN REGION,Haryana,4598,8082106,7662065259000,5100366344000
2024,2024-03-31,NORTHERN REGION,Himachal Pradesh,1438,1139391,700167066000,498075373000
2024,2024-03-31,NORTHERN REGION,Jammu & Kashmir,1546,3065573,1361348580000,982799529000
2024,2024-03-31,NORTHERN REGION,Ladakh,90,81309,53011937000,38238264000
2024,2024-03-31,NORTHERN REGION,Punjab,6110,7325044,6738582535000,3490487224000
2024,2024-03-31,NORTHERN REGION,Rajasthan,6759,13444342,7680226816000,5443871998000
2024,2024-03-31,SOUTHERN REGION,Andhra Pradesh,6344,17805519,8526419921000,6808898161000
2024,2024-03-31,SOUTHERN REGION,Karnataka,9052,23078693,16618903758000,11148875003000
2024,2024-03-31,SOUTHERN REGION,Kerala,6214,13883973,7117145762000,5405503440000
2024,2024-03-31,SOUTHERN REGION,Lakshadweep,14,7618,2221926000,1674480000
2024,2024-03-31,SOUTHERN REGION,Puducherry,227,700664,255640220000,198010275000
2024,2024-03-31,SOUTHERN REGION,Tamil Nadu,11641,40418857,20881573626000,14937122964000
2024,2024-03-31,SOUTHERN REGION,Telangana,4886,13826552,11916632503000,8332137938000
2024,2024-03-31,WESTERN REGION,Dadra & Nagar Haveli and Daman & Diu,105,143940,99518784000,68996149000
2024,2024-03-31,WESTERN REGION,Goa,649,548631,720543425000,298104135000
2024,2024-03-31,WESTERN REGION,Gujarat,8068,14625279,13722379694000,8737017537000
2024,2024-03-31,WESTERN REGION,Maharashtra,12910,109356920,79368661132000,46796677751000
