Return Sk,Currency Sk,Stored Unit Sk,Quarter Date,Sequence No,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8,Measure 9,Measure 10,Measure 11,Measure 12,Measure 13,Measure 14,Measure 15,St Flag,Created By,Created Date,Src Name,Report As On Date Sk
258,55,1,2024/03/31 00:00:00,2,CHHATTISGARH,,,,3092,3408950,198947111000,39655202,1143568732000,3825529,1097035848000,46889681,2439551691000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2020/03/31 00:00:00,35,PUDUCHERRY,,,,267,101384,10038740000,2562198,68871093000,371204,121516263000,3034786,200426096000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2023/03/31 00:00:00,21,NORTHERN REGION,,,,28167,30656057,3605467895000,349654996,12316058518000,49906535,23313453301000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2019/03/31 00:00:00,12,WEST BENGAL,,,,8170,4970303,607537757000,118291774,2629575950000,24113977,4555799085000,147376054,7792912792000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2024/03/31 00:00:00,4,UTTARAKHAND,,,,2280,2316502,112665547000,17899549,893067823000,4068949,1222614690000,24285000,2228348060000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2021/03/31 00:00:00,11,SIKKIM,,,,164,36722,7620962000,948694,38709200000,120268,59711603000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2022/03/31 00:00:00,19,NAGALAND,,,,182,67121,29212436000,1549713,72370140000,100960,44210403000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2024/03/31 00:00:00,7,ANDAMAN & NICOBAR ISLANDS,,,,74,39693,6074791000,511388,38480538000,119661,32901469000,670742,77456798000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2025/03/31 00:00:00,36,TAMIL NADU,,,,13204,5353982,1469004757000,148117939,4308100627000,18066958,8853158124000,171538879,14630263508000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2019/03/31 00:00:00,6,EASTERN REGION,,,,23264,13020428,1167702013000,321717441,6785123902000,47943899,8801339913000,382681768,16754165828000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
