reporting_date,region,state,n_offices,n_credit_accounts,credit_limit_rs,amount_outstanding_rs
2015-12-31,NORTHERN REGION,Chandigarh,370,201797,906848881000,637454698000
2015-12-31,NORTHERN REGION,Delhi,3256,2768479,15152658747000,9011004202000
2015-12-31,NORTHERN REGION,Haryana,3711,2231382,2862562601000,1702718790000
2015-12-31,NORTHERN REGION,Himachal Pradesh,1261,618394,271446817000,209452022000
2015-12-31,NORTHERN REGION,Jammu & Kashmir,1320,1098080,434674162000,328854883000
2015-12-31,NORTHERN REGION,Punjab,5514,2904308,4253104864000,2015643913000
2015-12-31,NORTHERN REGION,Rajasthan,5041,4727581,2738991269000,2075123487000
2015-12-31,SOUTHERN REGION,Andhra Pradesh,5200,9379167,3507339688000,1962118014000
2015-12-31,SOUTHERN REGION,Karnataka,7542,8330674,6481359563000,4351981252000
2015-12-31,SOUTHERN REGION,Kerala,5441,7065520,2721512014000,2105060602000
2015-12-31,SOUTHERN REGION,Lakshadweep,12,5748,1052126000,755653000
2015-12-31,SOUTHERN REGION,Puducherry,190,333200,102793451000,77808336000
2015-12-31,SOUTHERN REGION,Tamil Nadu,9181,28336371,9770493100000,6544465807000
2015-12-31,SOUTHERN REGION,Telangana,3844,5515193,5833540782000,3444959653000
2015-12-31,WESTERN REGION,Dadra & Nagar Haveli,54,23298,14472099000,10270675000
2015-12-31,WESTERN REGION,Daman & Diu,46,13476,11883219000,8507332000
2015-12-31,WESTERN REGION,Goa,631,298444,203702178000,146795903000
2015-12-31,WESTERN REGION,Gujarat,6379,4465337,5299700436000,3646834471000
2015-12-31,WESTERN REGION,Maharashtra,10580,21681242,32013739604000,20350134853000
2016-03-31,CENTRAL REGION,Chhattisgarh,1677,1143404,876779609000,638590817000
2016-03-31,CENTRAL REGION,Madhya Pradesh,4706,5182017,2219246011000,1625015851000
2016-03-31,CENTRAL REGION,Uttar Pradesh,11650,9425234,3920232837000,2925353234000
2016-03-31,CENTRAL REGION,Uttarakhand,1615,939098,428546169000,317524671000
2016-03-31,EASTERN REGION,Andaman & Nicobar Islands,61,40872,18216066000,14290935000
2016-03-31,EASTERN REGION,Bihar,4209,4754476,851988104000,689738796000
2016-03-31,EASTERN REGION,Jharkhand,2301,2041991,587246894000,450279218000
2016-03-31,EASTERN REGION,Odisha,3452,3170867,1048780474000,780745380000
2016-03-31,EASTERN REGION,Sikkim,127,58786,23925175000,17817006000
2016-03-31,EASTERN REGION,West Bengal,6439,7079262,4702004946000,3271763367000
2016-03-31,NORTH-EASTERN REGION,Arunachal Pradesh,104,76272,31627502000,24118992000
2016-03-31,NORTH-EASTERN REGION,Assam,1680,2777583,508470320000,387565886000
2016-03-31,NORTH-EASTERN REGION,Manipur,122,104612,31723523000,23898568000
2016-03-31,NORTH-EASTERN REGION,Meghalaya,228,174908,51297816000,38746266000
2016-03-31,NORTH-EASTERN REGION,Mizoram,84,63066,19831826000,15048377000
2016-03-31,NORTH-EASTERN REGION,Nagaland,136,120385,35314382000,26152356000
2016-03-31,NORTH-EASTERN REGION,Tripura,276,505827,54043904000,42650239000
2016-03-31,NORTHERN REGION,Chandigarh,369,206826,838136891000,544580198000
2016-03-31,NORTHERN REGION,Delhi,3286,2895801,14178092819000,9705113848000
2016-03-31,NORTHERN REGION,Haryana,3685,2310315,2915071413000,1696082788000
2016-03-31,NORTHERN REGION,Himachal Pradesh,1232,628969,265842823000,206360686000
2016-03-31,NORTHERN REGION,Jammu & Kashmir,1325,1126275,450074111000,337638142000
2016-03-31,NORTHERN REGION,Punjab,5411,2981831,4256732276000,1971273868000
2016-03-31,NORTHERN REGION,Rajasthan,5081,4878791,2586835942000,1739739869000
2016-03-31,SOUTHERN REGION,Andhra Pradesh,5273,9285726,3611290394000,2054883373000
2016-03-31,SOUTHERN REGION,Karnataka,7636,8566001,6921976035000,4631362975000
2016-03-31,SOUTHERN REGION,Kerala,5492,6952295,2809311440000,2154393243000
2016-03-31,SOUTHERN REGION,Lakshadweep,12,5800,1097583000,790709000
2016-03-31,SOUTHERN REGION,Puducherry,190,336234,100140893000,80690489000
2016-03-31,SOUTHERN REGION,Tamil Nadu,9297,28356300,10063856653000,6752904330000
2016-03-31,SOUTHERN REGION,Telangana,3908,5513825,5035053197000,3593889896000
2016-03-31,WESTERN REGION,Dadra & Nagar Haveli,54,24737,14936332000,11034162000
2016-03-31,WESTERN REGION,Daman & Diu,47,14070,11723151000,8521402000
2016-03-31,WESTERN REGION,Goa,640,300520,211911465000,151424262000
2016-03-31,WESTERN REGION,Gujarat,6443,4572619,5430992175000,3854513681000
2016-03-31,WESTERN REGION,Maharashtra,10686,22389400,34148276864000,22373515535000
2016-06-30,CENTRAL REGION,Chhattisgarh,1643,1140534,832751816000,620824695000
