march_year,state_name,state_code,no_of_deposit_accounts_thousand,deposit_amount_rs_crore,source
2016,Andhra Pradesh,28,82486.0,210237.4,IDP bank-group wise deposits (RBI BSR-2)
2016,Arunachal Pradesh,12,1229.0,8731.800000000001,IDP bank-group wise deposits (RBI BSR-2)
2016,Assam,18,33015.0,102304.2,IDP bank-group wise deposits (RBI BSR-2)
2016,Bihar,10,87936.0,243071.7,IDP bank-group wise deposits (RBI BSR-2)
2016,Chandigarh,4,3884.0,55680.6,IDP bank-group wise deposits (RBI BSR-2)
2016,Chhattisgarh,22,30018.0,104611.3,IDP bank-group wise deposits (RBI BSR-2)
2016,Delhi,7,45466.0,967058.6,IDP bank-group wise deposits (RBI BSR-2)
2016,Goa,30,5486.0,55948.2,IDP bank-group wise deposits (RBI BSR-2)
2016,Gujarat,24,83014.0,518453.39999999997,IDP bank-group wise deposits (RBI BSR-2)
2016,Haryana,6,43253.0,252602.8,IDP bank-group wise deposits (RBI BSR-2)
2016,Himachal Pradesh,2,11558.0,66350.1,IDP bank-group wise deposits (RBI BSR-2)
2016,Jammu and Kashmir,1,17277.0,80314.3,IDP bank-group wise deposits (RBI BSR-2)
2016,Jharkhand,20,35891.0,159621.8,IDP bank-group wise deposits (RBI BSR-2)
2016,Karnataka,29,103585.0,696063.4,IDP bank-group wise deposits (RBI BSR-2)
2016,Kerala,32,61844.0,366136.7,IDP bank-group wise deposits (RBI BSR-2)
2016,Lakshadweep,31,90.0,754.8000000000001,IDP bank-group wise deposits (RBI BSR-2)
2016,Madhya Pradesh,23,85714.0,282590.5,IDP bank-group wise deposits (RBI BSR-2)
2016,Maharashtra,27,171561.0,2181769.3,IDP bank-group wise deposits (RBI BSR-2)
2016,Manipur,14,2087.0,6035.9,IDP bank-group wise deposits (RBI BSR-2)
2016,Meghalaya,17,2331.0,18168.1,IDP bank-group wise deposits (RBI BSR-2)
2016,Mizoram,15,1086.0,5912.9,IDP bank-group wise deposits (RBI BSR-2)
2016,Nagaland,13,1175.0,7728.4,IDP bank-group wise deposits (RBI BSR-2)
2016,Odisha,21,49536.0,209214.5,IDP bank-group wise deposits (RBI BSR-2)
2016,Puducherry,34,2474.0,12676.3,IDP bank-group wise deposits (RBI BSR-2)
2016,Punjab,3,52575.0,290177.9,IDP bank-group wise deposits (RBI BSR-2)
2016,Rajasthan,8,74291.0,258998.4,IDP bank-group wise deposits (RBI BSR-2)
2016,Sikkim,11,870.0,6354.0,IDP bank-group wise deposits (RBI BSR-2)
2016,Tamil Nadu,33,121045.0,600034.6,IDP bank-group wise deposits (RBI BSR-2)
2016,Telangana,36,61303.0,355785.9,IDP bank-group wise deposits (RBI BSR-2)
2016,The Dadra and Nagar Haveli and Daman and Diu,38,1181.0,6808.5,IDP bank-group wise deposits (RBI BSR-2)
2016,Tripura,16,5250.0,17325.0,IDP bank-group wise deposits (RBI BSR-2)
2016,Uttar Pradesh,9,227980.0,742274.1,IDP bank-group wise deposits (RBI BSR-2)
2016,Uttarakhand,5,16493.0,96517.4,IDP bank-group wise deposits (RBI BSR-2)
2016,West Bengal,19,122584.0,609984.1,IDP bank-group wise deposits (RBI BSR-2)
2017,Andhra Pradesh,28,89103.0,249228.5,IDP bank-group wise deposits (RBI BSR-2)
2017,Andman and Nocobar Islands,35,586.0,4101.599999999999,IDP bank-group wise deposits (RBI BSR-2)
2017,Arunachal Pradesh,12,1424.0,11865.5,IDP bank-group wise deposits (RBI BSR-2)
2017,Assam,18,40279.0,120975.7,IDP bank-group wise deposits (RBI BSR-2)
2017,Bihar,10,104583.0,295172.9,IDP bank-group wise deposits (RBI BSR-2)
2017,Chandigarh,4,4187.0,59618.100000000006,IDP bank-group wise deposits (RBI BSR-2)
2017,Chhattisgarh,22,35306.0,118872.7,IDP bank-group wise deposits (RBI BSR-2)
2017,Dadra and Nagar Haveli,26,794.0,3593.0,IDP bank-group wise deposits (RBI BSR-2)
2017,Daman and Diu,25,569.0,4289.4,IDP bank-group wise deposits (RBI BSR-2)
2017,Delhi,7,49127.0,1092454.5999999999,IDP bank-group wise deposits (RBI BSR-2)
2017,Goa,30,5769.0,61693.299999999996,IDP bank-group wise deposits (RBI BSR-2)
2017,Gujarat,24,92387.0,603972.0,IDP bank-group wise deposits (RBI BSR-2)
2017,Haryana,6,47939.0,309628.7,IDP bank-group wise deposits (RBI BSR-2)
2017,Himachal Pradesh,2,12631.0,78523.3,IDP bank-group wise deposits (RBI BSR-2)
2017,Jammu and Kashmir,1,18771.0,90115.59999999999,IDP bank-group wise deposits (RBI BSR-2)
2017,Jharkhand,20,41430.0,184171.7,IDP bank-group wise deposits (RBI BSR-2)
