march_year,state_name,state_code,no_of_deposit_accounts_thousand,deposit_amount_rs_crore,source,no_of_offices
2020,Mizoram,15,1374.0,11004.0,IDP population-group wise deposits (RBI BSR-2),192.0
2020,Nagaland,13,1233.0,11510.0,IDP population-group wise deposits (RBI BSR-2),158.0
2020,Odisha,21,65761.0,341142.0,IDP population-group wise deposits (RBI BSR-2),5223.0
2020,Puducherry,34,3035.0,20043.0,IDP population-group wise deposits (RBI BSR-2),267.0
2020,Punjab,3,62076.0,410987.0,IDP population-group wise deposits (RBI BSR-2),6735.0
2020,Rajasthan,8,96470.0,420145.0,IDP population-group wise deposits (RBI BSR-2),7775.0
2020,Sikkim,11,1095.0,10130.0,IDP population-group wise deposits (RBI BSR-2),162.0
2020,Tamil Nadu,33,150027.0,899039.0,IDP population-group wise deposits (RBI BSR-2),11828.0
2020,Telangana,36,69522.0,498154.0,IDP population-group wise deposits (RBI BSR-2),5383.0
2020,The Dadra and Nagar Haveli and Daman and Diu,38,1525.0,9752.0,IDP population-group wise deposits (RBI BSR-2),107.0
2020,Tripura,16,5547.0,26449.0,IDP population-group wise deposits (RBI BSR-2),563.0
2020,Uttar Pradesh,9,281159.0,1144901.0,IDP population-group wise deposits (RBI BSR-2),18041.0
2020,Uttarakhand,5,20252.0,149548.0,IDP population-group wise deposits (RBI BSR-2),2194.0
2020,West Bengal,19,152656.0,827830.0,IDP population-group wise deposits (RBI BSR-2),9251.0
2021,Andaman and Nicobar Islands,35,554.0,5843.0,IDP population-group wise deposits (RBI BSR-2),69.0
2021,Andhra Pradesh,28,95903.0,359686.0,IDP population-group wise deposits (RBI BSR-2),7429.0
2021,Arunachal Pradesh,12,1412.0,18035.0,IDP population-group wise deposits (RBI BSR-2),153.0
2021,Assam,18,47978.0,173016.0,IDP population-group wise deposits (RBI BSR-2),3020.0
2021,Bihar,10,142164.0,397488.0,IDP population-group wise deposits (RBI BSR-2),7584.0
2021,Chandigarh,4,4275.0,81320.0,IDP population-group wise deposits (RBI BSR-2),442.0
2021,Chhattisgarh,22,42382.0,173217.0,IDP population-group wise deposits (RBI BSR-2),2844.0
2021,Delhi,7,52468.0,1400202.0,IDP population-group wise deposits (RBI BSR-2),3737.0
2021,Goa,30,5869.0,85772.0,IDP population-group wise deposits (RBI BSR-2),687.0
2021,Gujarat,24,105126.0,830161.0,IDP population-group wise deposits (RBI BSR-2),8582.0
2021,Haryana,6,54793.0,538565.0,IDP population-group wise deposits (RBI BSR-2),5225.0
2021,Himachal Pradesh,2,13810.0,112346.0,IDP population-group wise deposits (RBI BSR-2),1683.0
2021,Jammu and Kashmir,1,22069.0,142848.0,IDP population-group wise deposits (RBI BSR-2),1798.0
