dependent,dv_label,column,regressor,coef,se,t,p,ci_lo,ci_hi,N,r2_within
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(4) + both,c_upi,0.37385933130204113,0.14369642134489413,2.601730285298613,0.010423408972162207,0.08939791306872386,0.6583207495353585,165,0.5934562116902415
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(4) + both,upi_x_diglit_w,-0.061439447191251426,0.0431194934658135,-1.4248647711959457,0.15674945940449025,-0.14679879121658124,0.023919896834078386,165,0.5934562116902415
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(4) + both,upi_x_income_s,0.03519605444392973,0.04724932853861986,0.7449006267922257,0.4577643596645524,-0.058338710589697404,0.12873081947755688,165,0.5934562116902415
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(4) + both,branches_per_lakh_adults,0.004108955180751437,0.004840051268089663,0.8489486894160969,0.3975725704080122,-0.005472409721427962,0.013690320082930836,165,0.5934562116902415
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(4) + both,atms_per_lakh_adults,-0.0008814646137848856,0.002297036920290529,-0.3837398545920621,0.7018392072780542,-0.00542867862207134,0.0036657493945015684,165,0.5934562116902415
norm_credit_accts_per_adult,ACCESS  credit accounts / adult,(4) + both,ln_nsdp_pc,0.033440686617947,0.020836984081667474,1.6048717264879209,0.11110760092323102,-0.007808204538149954,0.07468957777404396,165,0.5934562116902415
norm_deposits_per_capita,USAGE   deposits Rs / capita,(1) UPI only,c_upi,0.2217946373752791,0.04843101640068885,4.579599063961095,1.117187323029789e-05,0.12593608958643204,0.31765318516412616,165,0.7946913280565153
norm_deposits_per_capita,USAGE   deposits Rs / capita,(1) UPI only,branches_per_lakh_adults,-0.015059623736056998,0.006421614051609378,-2.34514619144431,0.02060776831537492,-0.027769796744917783,-0.0023494507271962124,165,0.7946913280565153
norm_deposits_per_capita,USAGE   deposits Rs / capita,(1) UPI only,atms_per_lakh_adults,-0.0015997226219939995,0.0018314921067053855,-0.8734531894170655,0.38410449342133557,-0.005224758532514706,0.0020253132885267077,165,0.7946913280565153
norm_deposits_per_capita,USAGE   deposits Rs / capita,(1) UPI only,ln_nsdp_pc,-0.012870653333848093,0.013406489825147805,-0.9600315594694598,0.3389075659484013,-0.03940585207822844,0.013664545410532256,165,0.7946913280565153
norm_deposits_per_capita,USAGE   deposits Rs / capita,(2) + skills,c_upi,0.2176353765473824,0.03164633801058973,6.877110914841259,2.7288904469457975e-10,0.15499339084768243,0.2802773622470824,165,0.8690979036398705
norm_deposits_per_capita,USAGE   deposits Rs / capita,(2) + skills,upi_x_diglit_w,0.08091098352127754,0.025714155821784525,3.146554142474759,0.0020725872579359095,0.030011388733120065,0.13181057830943502,165,0.8690979036398705
norm_deposits_per_capita,USAGE   deposits Rs / capita,(2) + skills,branches_per_lakh_adults,-0.006856185657713649,0.005013091631587935,-1.367656161421869,0.1739134705942622,-0.016779293165196312,0.003066921849769015,165,0.8690979036398705
norm_deposits_per_capita,USAGE   deposits Rs / capita,(2) + skills,atms_per_lakh_adults,-0.001351221412960618,0.0013367577730511756,-1.0108199407559297,0.3140869521888403,-0.0039972514615372896,0.0012948086356160534,165,0.8690979036398705
norm_deposits_per_capita,USAGE   deposits Rs / capita,(2) + skills,ln_nsdp_pc,0.0029518280968241564,0.01707251173787961,0.1728994621380047,0.8630146481001693,-0.03084216208884425,0.036745818282492564,165,0.8690979036398705
norm_deposits_per_capita,USAGE   deposits Rs / capita,(3) + resources,c_upi,0.020980640782396205,0.0629068218243387,0.3335193254712922,0.739310190441981,-0.10353955589297151,0.14550083745776393,165,0.5251862884412155
norm_deposits_per_capita,USAGE   deposits Rs / capita,(3) + resources,upi_x_income_s,0.10350866847626614,0.02431953707933008,4.256194027814836,4.0850385474522355e-05,0.05536963597787917,0.1516477009746531,165,0.5251862884412155
norm_deposits_per_capita,USAGE   deposits Rs / capita,(3) + resources,branches_per_lakh_adults,-0.011329053465983471,0.005373556600369828,-2.108297038353288,0.03703448975810675,-0.021965679277293967,-0.0006924276546729762,165,0.5251862884412155
