march_year,fy_end,state_key,no_of_credit_accounts,credit_outstanding_rs_crore,credit_offices,credit_src,no_of_deposit_accounts,deposit_amount_rs_crore,no_of_offices,deposit_src
2019,2019,lakshadweep,5033,88.9274,13,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",100606.0,1095.5798,13.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,madhya pradesh,7179708,238788.9189,5167,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",105532190.0,368951.1468,6747.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,maharashtra,41547151,2735586.3891,11391,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",197887425.0,2607844.9044,12943.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,manipur,173280,4760.0773,153,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",2743213.0,9927.144,192.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,meghalaya,201633,5779.159,243,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",2840817.0,24063.3983,346.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,mizoram,77890,2173.7824,102,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1416119.0,9254.9414,192.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,nagaland,144338,3929.2198,146,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1479138.0,11182.8619,164.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,odisha,5776171,112164.302,3784,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",62128831.0,309553.8177,4914.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,puducherry,486822,11264.2024,198,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",2830751.0,17817.8613,253.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,punjab,4689693,222152.2334,5959,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",59582908.0,379577.0044,6614.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,rajasthan,7069195,288688.2383,5642,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",91436253.0,379007.9058,7391.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,sikkim,79993,2731.2178,138,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1030769.0,9632.1536,143.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,tamil nadu,31777338,869717.717,10040,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",141073289.0,798738.4202,11206.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,telangana,7959457,468213.8041,4129,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",68060069.0,458580.7597,5227.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,tripura,691026,7794.5648,305,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",5381675.0,24880.0369,463.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,uttar pradesh,13593958,393285.6834,12592,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",270239353.0,1041506.6525,17462.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,uttarakhand,1204160,49172.0743,1744,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",19457870.0,137040.3613,2126.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2019,2019,west bengal,11397748,374710.3995,6899,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",147376054.0,779291.2792,8170.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,andaman and nicobar islands,48807,2381.34,69,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",624585.0,5811.1278,71.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,andhra pradesh,11979845,375233.7685,5773,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",92229340.0,324872.7126,7252.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,arunachal pradesh,97683,4115.613,130,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1668551.0,17170.7788,164.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,assam,4711540,66581.8354,2389,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",44199128.0,164298.5636,2957.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,bihar,9903993,116795.485,5148,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",134966208.0,375706.7035,7463.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,chandigarh,551633,78689.9836,392,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",4354455.0,72551.9738,454.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,chhattisgarh,2217453,96652.7039,2093,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",40993071.0,160542.0925,2823.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,dadra and nagar haveli and daman and diu,101785,4457.8753,109,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1570839.0,9978.8494,110.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,delhi,6265103,1365109.8536,3555,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",53149594.0,1238244.5074,3825.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,goa,442171,19241.7067,667,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",5976224.0,76533.1665,697.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
