state_raw,year_label,fy_end,value,table,source_title,source_url
Delhi,2014-15,2015,247209.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Delhi,2015-16,2016,270261.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Delhi,2016-17,2017,295558.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Goa,2011-12,2012,259444.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Goa,2012-13,2013,234354.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Goa,2013-14,2014,215776.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Goa,2014-15,2015,289185.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Goa,2015-16,2016,334576.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Goa,2016-17,2017,378953.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Gujarat,2011-12,2012,87481.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Gujarat,2012-13,2013,102826.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Gujarat,2013-14,2014,113139.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Gujarat,2014-15,2015,127017.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Gujarat,2015-16,2016,139254.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Gujarat,2016-17,2017,156295.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Haryana,2011-12,2012,106085.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Haryana,2012-13,2013,121269.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Haryana,2013-14,2014,137770.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Haryana,2014-15,2015,147382.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Haryana,2015-16,2016,164963.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Haryana,2016-17,2017,184982.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Himachal Pradesh,2011-12,2012,87721.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Himachal Pradesh,2012-13,2013,99730.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Himachal Pradesh,2013-14,2014,114095.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Himachal Pradesh,2014-15,2015,123299.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Himachal Pradesh,2015-16,2016,135512.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Himachal Pradesh,2016-17,2017,150290.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
