state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000,branches_per_lakh_adults,atms_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc,txn_count,txn_amount_inr,txn_count_p2p,txn_count_retail,txn_count_utility,registered_users_31mar,pp_users_per_adult,pp_txns_per_capita,pp_value_per_capita,pp_value_to_nsdp,pp_ticket_size_rs,ln_pp_users_per_adult,ln_pp_txns_per_capita,ln_pp_value_per_capita
BIHAR,2019,6917.0,7733.0,10079827.0,125866480.0,353169.0,124996.0,40715.0,69542.5,119520.0,9.946435632886365,11.119818815832046,1.8099217025559908,0.1449448466764928,29548.94578313253,10458.165997322623,0.1168701387794224,0.0831273432577629,0.0035810303383958,0.0026154923470116,0.0999987410185926,0.0030982613427037,0.0969004796758889,10.614351853901232,73844614,116110682066.13985,40908581,31306648,1629385.0,5903371.0,0.0848886795844268,0.617843155957162,971.4749168853735,0.023860368829310415,1572.3649400637378,-2.466414532783356,-0.481520646684903,6.87881544952934
BIHAR,2020,7463.0,8235.0,12646671.0,134966208.0,375707.0,139590.0,44175.0,71482.8,121302.0,10.440273744173425,11.520253823297352,1.8880934714364852,0.1769190770367137,30972.86112347694,11507.642083395163,0.1280411840782471,0.1238010533173512,0.0053950657475476,0.0040925283235613,0.1259211186977992,0.0047437970355544,0.1211773216622447,10.695914297187898,143930233,320833212775.9124,75222861,58047174,10660198.0,9579162.0,0.1340065302422401,1.186544599429523,2644.9128025581804,0.059873521280321,2229.0883999049206,-2.0098667470676017,0.17104538525551724,7.880393376852261
BIHAR,2021,7584.0,8550.0,13722593.0,142163767.0,397492.0,163964.0,42128.0,73449.0,123083.0,10.325532001797166,11.640730302658987,1.9355439420550316,0.1868315838200656,32294.6304526214,13321.417255023032,0.1348220381425919,0.1364105335871672,0.0070789694866694,0.0066452412604444,0.1356162858648796,0.0068621053735569,0.1287541804913227,10.64846788173609,336121711,822568246527.9785,170777072,115309870,50034769.0,14274751.0,0.19434915383463355,2.7308540659554934,6683.037028086564,0.15863646572556409,2447.233307484795,-1.6380989755156954,1.0046144049435195,8.807327808134142
BIHAR,2022,7640.0,9284.0,14316914.0,153926494.0,442417.0,195592.0,47296.0,75318.8,124919.0,10.143549817575426,12.32627179402752,2.043666309075556,0.190084202085004,35416.309768730134,15657.506063929426,0.1502731386754317,0.140548117220993,0.0110559171709806,0.0099330600692392,0.1454106279482123,0.0104944886201099,0.1349161393281024,10.764181004307874,828700722,1836128822596.8748,410957135,293026594,124716993.0,19351497.0,0.256927845371939,6.633904546145903,14698.555244573481,0.310777977938377,2215.671802681107,-1.358959990814259,1.8921935518391768,9.595504485254692
BIHAR,2023,7832.0,9680.0,16096444.0,158631066.0,478429.0,231859.0,54637.0,77212.0,126756.0,10.143501010205668,12.536911360928354,2.054487204061545,0.2084707558410609,37744.09100949857,18291.757392155007,0.1518194860306655,0.1639372449042443,0.014021456958263,0.0136405137546525,0.1578783654674549,0.0138309853564578,0.1440473801109971,10.90846658790572,1784928984,3408588350078.5093,798460459,797788818,188679707.0,24855994.0,0.3219187950059576,14.08161336741456,26890.942835672548,0.49217458564109573,1909.649280522025,-1.1334559546653205,2.6448699299193255,10.19954481133594
CHANDIGARH,2019,442.0,707.0,573780.0,4185926.0,68300.0,77956.0,307812.0,800.3,1179.0,55.229289016618765,88.34187179807572,5.230446082718981,0.7169561414469574,579304.4953350297,661204.4105173877,0.6056761789107399,0.8107702385578649,0.7039569621150793,0.9184778235771612,0.7082232087343023,0.8112173928461202,-0.1029941841118178,12.637244485981745,2217558,4668563332.842735,1134987,1008318,74253.0,207673.0,0.2594939397725853,1.8808804071246819,3959.7653374408274,0.012864233159983455,2105.272255716755,-1.3490219301264037,0.6317399688849211,8.283940044270675
CHANDIGARH,2020,454.0,667.0,689948.0,4354455.0,72552.0,78002.0,330703.0,816.9,1193.0,55.57595788958257,81.65014077610478,5.330462724935733,0.8445929734361611,608147.5272422464,653830.6789606035,0.6199689403109294,0.9731342247669574,0.7407023216912532,0.9081000103660494,0.7965515825389434,0.8244011660286512,-0.0278495834897077,12.7089759705949,5949334,11492301628.334667,2544405,2983605,421324.0,316683.0,0.3876643408005876,4.986868398994132,9633.111172116234,0.029129191970185438,1931.6954852988026,-0.9476154148041265,1.6068081374037098,9.17296152344845
CHANDIGARH,2021,442.0,736.0,722264.0,4275328.0,81320.0,80793.0,290417.0,834.3,1208.0,52.97854488793,88.2176675056934,5.124449238882896,0.8657125734148388,673178.8079470198,668816.2251655629,0.5905288237851888,1.0,0.8235506783024076,0.9291907156872202,0.7952644118925944,0.876370696994814,-0.0811062851022195,12.579073100164289,8787462,16365180842.437569,3091875,4605443,1090144.0,420246.0,0.5037108953613808,7.274389072847682,13547.335134468187,0.046647872316249346,1862.3330425141603,-0.6857527958085636,1.9843598332904857,9.513945137923017
CHANDIGARH,2022,438.0,755.0,688165.0,4526153.0,89738.0,82007.0,337406.0,847.9,1219.0,51.65703502771554,89.04351928293431,5.338074065337894,0.8116110390376223,736160.787530763,672739.9507793273,0.6210566300182879,0.931178636725674,0.9037882723968352,0.9347129795773176,0.7761176333719809,0.9192506259870764,-0.1431329926150955,12.729042231982715,19171048,30009017419.684216,5910181,10934707,2326160.0,509170.0,0.6005071352753862,15.726864643150122,24617.733732308625,0.07296175448068092,1565.3300445382129,-0.5099807553089013,2.755370373817397,10.111222345635984
CHANDIGARH,2023,449.0,744.0,719278.0,6633819.0,99918.0,77839.0,408512.0,862.4,1231.0,52.06400742115027,86.2708719851577,7.69227620593692,0.8340422077922078,811681.5597075549,632323.314378554,0.957481136356713,0.9597128295410472,1.0,0.8778304771484431,0.95859698294888,0.9389152385742215,0.0196817443746585,12.92027656861573,36864527,48855249989.82359,9986293,23913895,2964339.0,587987.0,0.6818031076066791,29.946813160032494,39687.44922000292,0.09715124456565026,1325.2645284130078,-0.38301436134404726,3.3994229135588565,10.588790276138239
CHHATTISGARH,2019,2634.0,3279.0,2196361.0,39671833.0,142656.0,94404.0,102024.0,18850.3,28724.0,13.973252415080928,17.39494862150735,2.104573030667947,0.1165159705681076,49664.39214594068,32865.89611474725,0.1589769425634012,0.0469635997954348,0.0292076465698082,0.0341522028785586,0.102970271179418,0.0316799247241834,0.0712903464552346,11.532963358706736,23052352,36919605442.13843,9791781,11994013,1266558.0,1925189.0,0.10213041702254076,0.8025467205124635,1285.3225679619284,0.012598237355543091,1601.554819314681,-2.2815046841483286,-0.2199652069654897,7.158764991478959
CHHATTISGARH,2020,2823.0,3594.0,2621265.0,40993071.0,160542.0,104647.0,106611.0,19248.6,29109.0,14.6660016832393,18.671487796515077,2.1296650665502947,0.1361795143542907,55152.0148407709,35950.04981277268,0.1625626906345489,0.0719771582045918,0.0361987517278431,0.0384928505880646,0.1172699244195704,0.0373458011579538,0.0799241232616165,11.576941974883646,58052733,100716908852.8911,24728887,27495707,5828139.0,3094859.0,0.16078358945585652,1.9943224775842523,3459.9920592562817,0.0324543626760492,1734.9210562212652,-1.8276959830680832,0.6903043824277543,8.149021573036501
CHHATTISGARH,2021,2844.0,3829.0,3269960.0,42380082.0,173217.0,115659.0,106117.0,19650.0,29493.0,14.473282442748092,19.486005089058523,2.156747175572519,0.1664101781170483,58731.563421828905,39215.74610924626,0.1664328277826219,0.1104329158238601,0.0407590143297247,0.0430890019271842,0.138432871803241,0.0419240081284545,0.0965088636747865,11.572297537968923,137726923,244467951742.51212,56217444,57899892,23609587.0,4682835.0,0.23831221374045802,4.669817346488998,8289.016096786088,0.0781120470498232,1775.019338394078,-1.4341736425590628,1.5411199588150508,9.02268655553512
CHHATTISGARH,2022,2897.0,4156.0,3314286.0,44757758.0,197250.0,138103.0,123493.0,20009.0,29836.0,14.478484681893148,20.770653206057275,2.236881303413464,0.1656397621070518,66111.40903606382,46287.37096125486,0.1778843016959412,0.1094528866859314,0.0501607679866925,0.0530416292025398,0.1436685941909363,0.0516011985946162,0.0920673955963201,11.723939753281844,347830466,558727312374.3186,136062854,152446822,59320790.0,6380734.0,0.31889319806087263,11.658079702372973,18726.615912800597,0.15164111255537235,1606.3207998988755,-1.1428990345731147,2.4559994763106565,9.837701101740844
CHHATTISGARH,2023,2979.0,4390.0,3583952.0,45493127.0,216407.0,165326.0,134996.0,20371.7,30180.0,14.623227320253095,21.5495024961098,2.2331531978185426,0.1759279785192203,71705.43406229292,54779.98674618953,0.1773515411216815,0.1225402988508053,0.0572874272688421,0.0649941636297937,0.1499459199862434,0.0611407954493179,0.0888051245369255,11.813000427351971,719754516,1016183070075.9812,259514284,376947206,83293026.0,8004123.0,0.39290402862794954,23.848724850894634,33670.74453532078,0.24942031271534548,1411.8467442529825,-0.9341898988995357,3.171730750533732,10.424384624631777
