state_key,fy_end,branches,credit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,deposit_accounts,pop_18plus_000,pop_total_000,branches_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc
ANDHRA PRADESH AND TELANGANA,2021,13010.0,30857244.0,965238.0,1088013.0,393797.0,167242590.0,67288.0,90512.0,19.334799667102605,2.485474230174771,0.45858465105219354,106641.99222202582,120206.4919568676,0.2715489295985397,0.49980642405739895,0.11709982082308253,0.1626114079922724,0.38567767682796933,0.13985561440767746,0.24582206242029186,12.883590827077901
ANDHRA PRADESH AND TELANGANA,2022,13051.0,33417677.0,1024830.0,1211417.0,462703.0,173095114.0,67960.8,90879.0,19.203717437110807,2.5469846440889454,0.49171988852397264,112768.62641534347,133299.99229745046,0.2796892975744411,0.5405160683985043,0.1247720234575008,0.18091822005489722,0.4101026829864727,0.15284512175619902,0.25725756123027366,13.044840658556804
ANDHRA PRADESH AND TELANGANA,2023,13482.0,36932373.0,1123606.0,1417610.0,531963.0,181304426.0,68636.8,91246.0,19.642524126998925,2.6415046447386823,0.5380841327101497,123140.3020406374,155361.33090765623,0.2921981970828216,0.5974787472557471,0.13776016581183018,0.21176350735635138,0.44483847216928435,0.17476183658409078,0.27007663558519357,13.184329217032966
ARUNACHAL PRADESH,2012,96.0,71401.0,5753.0,1375.0,73540.0,727000.0,866.2,1399.0,11.082890787347033,0.839298083583468,0.08243015469868391,41122.23016440315,9828.44889206576,0.05369184274651001,0.037666511014644695,0.03505136237044203,0.008285212729983423,0.04567917688057735,0.021668287550212724,0.024010889330364625,11.205584754855263
ARUNACHAL PRADESH,2013,106.0,75548.0,7011.0,1531.0,82626.0,749000.0,890.1,1414.0,11.908774295023031,0.8414784855634199,0.08487585664532075,49582.74398868458,10827.439886845827,0.05398039997320918,0.040671277662136886,0.045646213377212204,0.009681962255930217,0.047325838817673035,0.02766408781657121,0.019661751001101825,11.32207967995518
ARUNACHAL PRADESH,2014,128.0,78680.0,7525.0,1784.0,94135.0,859000.0,914.3,1429.0,13.999781253417915,0.9395165700535929,0.08605490539210325,52659.2022393282,12484.254723582924,0.0669548872611026,0.04211984597806404,0.049498770972540795,0.011998454946941541,0.05453736661958332,0.03074861295974117,0.02378875365984215,11.452485201158812
ARUNACHAL PRADESH,2015,135.0,81682.0,8009.0,2146.0,114789.0,1060000.0,938.9,1444.0,14.378528064756631,1.1289807221216317,0.08699755032484822,55463.98891966759,14861.495844875346,0.09202881894083344,0.04327797076846811,0.05301112230263193,0.015322219051499284,0.06765339485465077,0.03416667067706561,0.033486724177585164,11.650850939461357
ARUNACHAL PRADESH,2016,143.0,83359.0,8732.0,2533.0,116985.0,1229000.0,963.7,1459.0,14.838642731140396,1.2752931410189894,0.08649891044930995,59849.21178889651,17361.20630568883,0.11139199427128357,0.042665346458630425,0.058502607086643565,0.018817214921721462,0.077028670364957,0.038659911004182514,0.03836875936077449,11.669801000432708
ARUNACHAL PRADESH,2017,152.0,89020.0,11866.0,2843.0,124129.0,1424000.0,986.9,1474.0,15.401763096565002,1.442902016415037,0.09020164150369844,80502.03527815468,19287.652645861603,0.1335735702830233,0.04721448736770955,0.08436552655966953,0.02151069567025478,0.09039402882536643,0.052938111114962154,0.037455917710404275,11.729076626407295
ARUNACHAL PRADESH,2018,154.0,104518.0,13449.0,3362.0,138836.0,1546379.0,1010.4,1489.0,15.24148851939826,1.5304621931908156,0.1034422011084719,90322.36400268637,22578.912021490934,0.14516139767082697,0.06348171565743013,0.09666323351161761,0.02611240379044688,0.10432155666412855,0.061387818651032246,0.04293373801309631,11.841048659419533
ARUNACHAL PRADESH,2019,155.0,91622.0,16659.0,3869.0,155103.0,1548936.0,1034.1,1504.0,14.988879218644232,1.4978590078328984,0.08860071559810465,110764.62765957447,25724.73404255319,0.14084664982389686,0.04524760470122217,0.12226247513973905,0.030510767178696482,0.09304712726255951,0.07638662115921777,0.016660506103341743,11.951844691337337
ARUNACHAL PRADESH,2020,164.0,114234.0,17171.0,4338.0,182171.0,1668551.0,1058.1,1519.0,15.499480200359136,1.5769312919383802,0.10796144031755033,113041.47465437787,28558.262014483214,0.15131117848422687,0.06903401088545293,0.12511370323015628,0.03447249343271698,0.11017259468483989,0.07979309833143663,0.030379496353403257,12.112701085387862
ARUNACHAL PRADESH,2021,169.0,130083.0,19525.0,5897.0,181537.0,1603533.0,1081.7,1533.0,15.623555514467967,1.4824193399278913,0.12025792733659979,127364.64448793216,38467.05805609915,0.1388033441432061,0.08414136038360776,0.14305018480597373,0.04832657845064801,0.11147235226340693,0.09568838162831086,0.015783970635096067,12.10921476866039
