state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000,branches_per_lakh_adults,atms_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc
ASSAM,2022,3043.0,4426.0,5531837.0,51977238.0,189483.0,95992.0,103371.0,24096.3,35378.0,12.628494831156651,18.367965206276484,2.1570630345737727,0.2295720504807792,53559.5567867036,27133.24665046074,0.16647796524415798,0.19077973432114712,0.03416999677604363,0.026084053816309478,0.17862884978265253,0.030127025296176557,0.14850182448647598,11.546079737502387
ASSAM,2023,3085.0,4670.0,5233473.0,56882605.0,207312.0,112374.0,121573.0,24538.6,35713.0,12.572029374128924,19.031240576071983,2.3180868101684693,0.21327512572029375,58049.44978019209,31465.852770699745,0.18948887976121426,0.17004877738791727,0.039890017231417406,0.03218177742977515,0.17976882857456578,0.03603589733059628,0.1437329312439695,11.708270184386105
BIHAR,2018,6729.0,7949.0,8348492.0,114165114.0,314811.0,101253.0,36850.0,67629.3,117739.0,9.949829437832419,11.753781275275657,1.688101370264072,0.12344489740393587,26738.039222347736,8599.784268594094,0.09946154652367689,0.05577773411452683,0.0,0.0,0.07761964031910186,0.0,0.07761964031910186,10.514610897617482
BIHAR,2019,6917.0,7733.0,10079827.0,125866480.0,353169.0,124996.0,40715.0,69542.5,119520.0,9.946435632886365,11.119818815832046,1.8099217025559908,0.1449448466764928,29548.94578313253,10458.165997322623,0.1168701387794224,0.08312734325776297,0.003581030338395881,0.002615492347011687,0.09999874101859269,0.003098261342703784,0.0969004796758889,10.614351853901232
BIHAR,2020,7463.0,8235.0,12646671.0,134966208.0,375707.0,139590.0,44175.0,71482.8,121302.0,10.440273744173425,11.520253823297352,1.8880934714364854,0.17691907703671372,30972.86112347694,11507.642083395163,0.1280411840782471,0.12380105331735128,0.005395065747547647,0.0040925283235613025,0.1259211186977992,0.004743797035554475,0.12117732166224474,10.695914297187898
BIHAR,2021,7584.0,8550.0,13722593.0,142163767.0,397492.0,163964.0,42128.0,73449.0,123083.0,10.325532001797166,11.640730302658987,1.9355439420550313,0.18683158382006562,32294.6304526214,13321.417255023032,0.13482203814259197,0.13641053358716726,0.007078969486669435,0.006645241260444404,0.13561628586487962,0.00686210537355692,0.1287541804913227,10.64846788173609
BIHAR,2022,7640.0,9284.0,14316914.0,153926494.0,442417.0,195592.0,47296.0,75318.8,124919.0,10.143549817575426,12.326271794027521,2.0436663090755562,0.190084202085004,35416.309768730134,15657.506063929426,0.1502731386754317,0.14054811722099303,0.011055917170980645,0.00993306006923924,0.14541062794821236,0.010494488620109942,0.13491613932810242,10.764181004307874
BIHAR,2023,7832.0,9680.0,16096444.0,158631066.0,478429.0,231859.0,54637.0,77212.0,126756.0,10.143501010205668,12.536911360928354,2.054487204061545,0.20847075584106098,37744.09100949857,18291.757392155007,0.15181948603066556,0.1639372449042443,0.014021456958263087,0.013640513754652568,0.15787836546745493,0.013830985356457827,0.1440473801109971,10.908466587905721
CHANDIGARH,2018,442.0,648.0,388232.0,4254424.0,61928.0,69673.0,280512.0,783.9,1165.0,56.38474295190713,82.66360505166475,5.4272534762087,0.49525704809286897,531570.8154506438,598051.5021459227,0.6338007095348108,0.5287517335940604,0.6431453512938579,0.8295962197690419,0.5812762215644356,0.7363707855314499,-0.15509456396701427,12.54437178377848
CHANDIGARH,2019,442.0,707.0,573780.0,4185926.0,68300.0,77956.0,307812.0,800.3,1179.0,55.229289016618765,88.34187179807572,5.230446082718981,0.7169561414469574,579304.4953350297,661204.4105173877,0.6056761789107399,0.8107702385578649,0.7039569621150793,0.9184778235771611,0.7082232087343023,0.8112173928461202,-0.10299418411181782,12.637244485981743
CHANDIGARH,2020,454.0,667.0,689948.0,4354455.0,72552.0,78002.0,330703.0,816.9,1193.0,55.57595788958257,81.65014077610478,5.330462724935733,0.8445929734361611,608147.5272422464,653830.6789606035,0.6199689403109294,0.9731342247669574,0.7407023216912532,0.9081000103660494,0.7965515825389434,0.8244011660286512,-0.027849583489707785,12.7089759705949
CHANDIGARH,2021,442.0,736.0,722264.0,4275328.0,81320.0,80793.0,290417.0,834.3,1208.0,52.97854488793,88.2176675056934,5.124449238882896,0.8657125734148388,673178.8079470198,668816.2251655629,0.5905288237851888,1.0,0.8235506783024076,0.9291907156872202,0.7952644118925944,0.876370696994814,-0.08110628510221951,12.579073100164287
CHANDIGARH,2022,438.0,755.0,688165.0,4526153.0,89738.0,82007.0,337406.0,847.9,1219.0,51.65703502771554,89.04351928293431,5.338074065337894,0.8116110390376223,736160.787530763,672739.9507793273,0.6210566300182879,0.9311786367256739,0.9037882723968352,0.9347129795773176,0.7761176333719809,0.9192506259870764,-0.1431329926150955,12.729042231982717
CHANDIGARH,2023,449.0,744.0,719278.0,6633819.0,99918.0,77839.0,408512.0,862.4,1231.0,52.06400742115027,86.2708719851577,7.6922762059369205,0.8340422077922078,811681.5597075549,632323.314378554,0.957481136356713,0.9597128295410472,1.0,0.8778304771484431,0.9585969829488801,0.9389152385742215,0.019681744374658527,12.92027656861573
CHHATTISGARH,2018,2521.0,3262.0,2003350.0,36974712.0,132429.0,83656.0,88793.0,18456.6,28340.0,13.65907046801686,17.67389443342761,2.003332791521732,0.10854382714042674,46728.65208186309,29518.701482004235,0.14450932447361264,0.0368224127620683,0.02546758121801974,0.029441350522144378,0.09066586861784047,0.02745446587008206,0.06321140274775841,11.394063097044278
CHHATTISGARH,2019,2634.0,3279.0,2196361.0,39671833.0,142656.0,94404.0,102024.0,18850.3,28724.0,13.973252415080928,17.39494862150735,2.104573030667947,0.11651597056810767,49664.39214594068,32865.89611474725,0.15897694256340122,0.046963599795434824,0.029207646569808215,0.03415220287855862,0.10297027117941802,0.03167992472418342,0.0712903464552346,11.532963358706736
CHHATTISGARH,2020,2823.0,3594.0,2621265.0,40993071.0,160542.0,104647.0,106611.0,19248.6,29109.0,14.666001683239301,18.671487796515073,2.1296650665502947,0.1361795143542907,55152.0148407709,35950.04981277268,0.16256269063454898,0.07197715820459186,0.036198751727843134,0.03849285058806463,0.11726992441957042,0.037345801157953884,0.07992412326161653,11.576941974883646
CHHATTISGARH,2021,2844.0,3829.0,3269960.0,42380082.0,173217.0,115659.0,106117.0,19650.0,29493.0,14.473282442748092,19.486005089058523,2.156747175572519,0.16641017811704834,58731.563421828905,39215.74610924626,0.16643282778262194,0.11043291582386018,0.04075901432972478,0.04308900192718424,0.13843287180324107,0.04192400812845451,0.09650886367478656,11.572297537968923
CHHATTISGARH,2022,2897.0,4156.0,3314286.0,44757758.0,197250.0,138103.0,123493.0,20009.0,29836.0,14.478484681893148,20.770653206057275,2.236881303413464,0.16563976210705184,66111.40903606382,46287.37096125486,0.17788430169594124,0.10945288668593142,0.0501607679866925,0.053041629202539894,0.14366859419093633,0.0516011985946162,0.09206739559632013,11.723939753281844
