state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000
HIMACHAL PRADESH,2022,1674.0,2178.0,1205487.0,15319423.0,123672.0,40942.0,193016.0,5587.9,7431.0
HIMACHAL PRADESH,2023,1734.0,2271.0,1284705.0,16594860.0,136486.0,46720.0,214952.0,5653.1,7468.0
JAMMU AND KASHMIR,2018,1799.0,2516.0,1646922.0,20578048.0,103991.0,44585.0,87710.0,8966.0,13392.0
JAMMU AND KASHMIR,2019,1830.0,2614.0,1805158.0,21661174.0,118122.0,54282.0,98738.0,9180.3,13496.0
JAMMU AND KASHMIR,2020,1835.0,2690.0,2607118.0,22158550.0,132981.0,61014.0,101868.0,9396.9,13600.0
JAMMU AND KASHMIR,2021,1875.0,2786.0,2712271.0,22646991.0,149058.0,72089.0,101645.0,9616.4,13705.0
JAMMU AND KASHMIR,2022,1897.0,2843.0,2810884.0,23707551.0,160684.0,82715.0,112898.0,9829.8,13804.0
JAMMU AND KASHMIR,2023,1967.0,2987.0,3072153.0,25126764.0,171157.0,95578.0,310584.0,10045.3,13903.0
JHARKHAND,2018,2960.0,3768.0,2929862.0,44821510.0,195691.0,54268.0,67484.0,23009.1,36869.0
JHARKHAND,2019,3051.0,3481.0,3328128.0,45663953.0,218585.0,63245.0,75421.0,23619.1,37403.0
JHARKHAND,2020,3169.0,3629.0,4414091.0,47965103.0,234106.0,71055.0,75016.0,24237.1,37937.0
JHARKHAND,2021,3190.0,3700.0,4959862.0,50250909.0,256070.0,80679.0,69963.0,24863.0,38471.0
JHARKHAND,2022,3206.0,4097.0,5248065.0,52988029.0,282989.0,92188.0,88500.0,25436.2,38969.0
JHARKHAND,2023,3298.0,4157.0,5736948.0,54789800.0,304044.0,109382.0,95839.0,26015.1,39466.0
KARNATAKA,2018,10068.0,17664.0,15318334.0,117549212.0,835662.0,582491.0,185840.0,46817.1,65275.0
KARNATAKA,2019,10285.0,17869.0,17637535.0,125117732.0,934364.0,701678.0,205245.0,47511.7,65798.0
KARNATAKA,2020,10778.0,17896.0,21089978.0,132963226.0,1061242.0,741838.0,222141.0,48212.2,66322.0
KARNATAKA,2021,10875.0,18347.0,22558957.0,131364488.0,1256023.0,793376.0,221683.0,48917.0,66845.0
KARNATAKA,2022,10780.0,19018.0,23427263.0,133941008.0,1382552.0,888922.0,268963.0,49507.4,67268.0
KARNATAKA,2023,11034.0,19238.0,25215292.0,143759011.0,1485253.0,1027656.0,310325.0,50102.1,67692.0
KERALA,2018,6393.0,9644.0,9818152.0,69198441.0,441923.0,282034.0,183252.0,25936.7,34943.0
